AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,PAINT_TOUCHES
23.0,73.0,185.0,4.5,0.182,102.65,208,1.5,0.9,0.34,4.34,0.7,3.4,3.99,0.0,0.0
31.0,75.0,215.0,28.2,0.215,107.46,2272,12.9,6.5,1.86,3.69,2.8,22.3,2.09,0.3,0.4
27.0,74.0,183.0,27.6,0.154,99.53,3431,8.3,5.4,2.02,4.12,3.5,22.7,4.59,0.2,0.3
29.0,80.0,255.0,14.1,0.167,99.44,1045,4.0,0.0,1.03,4.11,0.1,11.1,0.38,2.4,5.3
29.0,73.0,190.0,35.3,0.262,101.87,4716,18.9,12.8,2.71,4.33,8.3,35.9,4.15,0.5,1.0
25.0,83.0,279.0,33.5,0.226,98.15,5412,13.3,1.2,2.33,3.94,0.6,29.6,0.9,3.3,12.8
22.0,73.0,192.0,35.7,0.272,97.42,4954,17.3,17.5,2.66,4.19,7.8,33.5,4.96,0.8,0.9
23.0,84.0,255.0,29.9,0.159,99.46,4944,8.2,0.1,2.03,4.08,0.2,23.0,0.5,4.6,10.5
30.0,80.0,212.0,26.1,0.154,95.62,3752,7.6,2.1,1.81,4.16,1.0,19.3,0.94,0.3,1.5
26.0,77.0,220.0,18.0,0.119,97.63,1793,4.0,1.2,1.42,4.42,0.3,11.7,0.9,0.6,1.9
20.0,83.0,243.0,28.5,0.212,99.74,3998,10.5,4.4,1.95,3.85,0.5,38.1,1.26,5.0,6.9
27.0,83.0,265.0,22.5,0.238,96.33,3654,9.0,1.5,1.49,3.98,0.1,24.2,0.61,6.5,7.1
32.0,74.0,175.0,19.9,0.117,100.84,1376,4.2,2.4,1.49,4.52,1.6,15.2,4.14,0.2,0.3
19.0,81.0,190.0,28.9,0.166,99.79,4720,8.7,4.8,2.09,4.36,2.6,24.5,2.72,0.8,1.6
27.0,81.0,220.0,35.9,0.287,97.0,5435,18.0,7.5,2.5,4.17,7.1,41.0,2.28,1.9,1.6
28.0,81.0,250.0,15.3,0.144,94.7,1925,3.1,0.3,1.08,4.25,0.0,10.6,0.49,1.7,3.9
